timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Vapor Pressure Deficit [2 m],Basel Soil Moisture [0-7 cm down]
20210615T0800,23.440245,0,53.965992,2.1897945,9.462311,12.81549,0.261
20210615T0900,25.180244,0,49.55721,3.6179552,354.28943,15.59213,0.26
20210615T1000,26.820246,0,44.22342,5.0142193,21.037506,19.004599,0.254
20210615T1100,28.110245,0,38.94776,5.2416787,15.945404,22.439903,0.252
20210615T1200,29.030245,0,35.410122,6.130579,3.3664398,25.04756,0.25
20210615T1300,29.650246,0,33.024292,6.849467,356.98724,26.92274,0.248
20210615T1400,29.950245,0,31.103262,6.162207,353.29016,28.178902,0.246
20210615T1500,30.150246,0,29.915392,6.28713,346.7595,28.997086,0.244
20210615T1600,30.100245,0,30.021902,6.638072,347.4712,28.869751,0.243
20210615T1700,29.840246,0,29.789694,5.5887027,345.0686,28.534456,0.242
20210615T1800,28.210245,0,36.99826,4.0249224,349.69516,23.292181,0.242
20210615T1900,26.550245,0,37.394848,7.342588,348.69006,20.99366,0.242
20210615T2000,24.010244,0,45.095154,9.007196,2.2906036,15.8205385,0.242
20210615T2100,22.230246,0,50.28091,6.439876,26.565033,12.8594265,0.242
20210615T2200,19.460245,0,60.352535,3.8268526,41.18593,8.64256,0.241
20210615T2300,17.020245,0,73.24901,1.835647,78.69006,5.000699,0.241
20210616T0000,15.820246,0,80.78133,0.8049845,116.56505,3.3275976,0.241
20210616T0100,15.070246,0,85.11756,1.4399999,89.99999,2.4553976,0.241
20210616T0200,14.380245,0,89.18604,2.5455842,98.1301,1.7062454,0.241
20210616T0300,14.260245,0,90.83667,2.7416782,113.19859,1.4345875,0.242
20210616T0400,14.710245,0,90.21495,2.3051248,128.6598,1.5772724,0.242
20210616T0500,16.660246,0,85.51153,3.563818,135,2.6470413,0.242
20210616T0600,19.770245,0,69.82208,3.6,126.869896,6.7066574,0.242
20210616T0700,22.160246,0,61.345337,2.3051248,141.34018,9.95503,0.241
20210616T0800,24.490246,0,55.332813,2.0364676,135,13.247765,0.241
20210616T0900,26.460245,0,50.057167,2.8116899,129.80557,16.658604,0.239
20210616T1000,28.070246,0,43.99251,1.2979984,56.30993,20.537601,0.236
20210616T1100,29.670246,0,39.33171,1.835647,191.30994,24.415512,0.235
20210616T1200,30.680244,0,33.201897,2.0991426,210.96376,28.492298,0.233
20210616T1300,31.430244,0,29.810148,2.7416782,203.1986,31.25172,0.231
20210616T1400,31.890245,0,28.692886,3.0758414,200.55605,32.592113,0.23
20210616T1500,32.180244,0,28.12967,3.2399998,180,33.39519,0.228
20210616T1600,32.270245,0,27.689882,3.6179552,174.28941,33.77153,0.227
20210616T1700,32.010246,0,28.34637,3.671294,191.30994,32.974655,0.227
20210616T1800,30.700245,0,31.415194,1.0182338,225,29.28799,0.227
20210616T1900,27.880245,0,46.12546,2.7416782,113.19859,19.536997,0.227
20210616T2000,23.280245,0,63.40957,4.0249224,116.56505,10.088226,0.227
20210616T2100,22.200245,0,68.247375,4.6102495,128.6598,8.197512,0.227
20210616T2200,21.050245,0,71.15969,2.5959969,146.30994,6.9382515,0.226
20210616T2300,20.520245,0,72.17062,4.6102495,128.6598,6.4794292,0.226
20210617T0000,19.670246,0,74.724945,4.2136917,109.9831,5.5821934,0.227
20210617T0100,19.140245,0,76.44704,4.5820518,135,5.032585,0.227
20210617T0200,18.140245,0,80.935265,4.3349743,175.23636,3.8256893,0.227
20210617T0300,17.450245,0,83.51313,5.1544156,167.90524,3.1672382,0.227
20210617T0400,17.640245,0,83.37315,4.0249224,153.43495,3.2327843,0.227
20210617T0500,19.140245,0,78.39777,3.671294,168.69006,4.6157703,0.227
20210617T0600,21.760244,0,69.93367,5.3999996,180,7.5559063,0.227
20210617T0700,24.150246,0,61.56176,4.3349743,184.76364,11.16959,0.227
20210617T0800,25.880245,0,56.75478,5.6002855,225,13.936789,0.226
20210617T0900,27.180244,0,54.97578,5.692099,235.30484,15.670019,0.225
20210617T1000,28.670246,0,51.89823,4.1046314,254.74487,18.267145,0.219
20210617T1100,29.730246,0,48.27687,1.609969,206.56505,20.887894,0.218
20210617T1200,30.430244,0,45.146767,0.5091169,225,23.063786,0.217
20210617T1300,31.390245,0,41.548042,0.35999998,180,25.96614,0.215
